date,tci
2020-03-16,65.57336655890649
2020-03-17,65.6758353863854
2020-03-18,65.31709450979278
2020-03-19,65.0692426214939
2020-03-20,64.82436892033098
2020-03-23,64.6426015618524
2020-03-24,64.65590290426236
2020-03-25,64.24877438130935
2020-03-26,63.890618485717695
2020-03-27,64.24565888675882
2020-03-30,64.30468607613203
2020-03-31,64.13552581724004
2020-04-01,65.17130408857209
2020-04-03,65.62279537402306
2020-04-07,65.45406359233625
2020-04-08,65.98909667791092
2020-04-09,67.65373776679698
2020-04-15,66.85000448701086
2020-04-16,67.340803879572
2020-04-17,65.64185279548687
2020-04-20,64.37085711895789
2020-04-22,59.32397092171337
2020-04-23,55.926537659310725
2020-04-24,55.09968289350968
2020-04-27,55.49269829398678
2020-04-28,54.69183946181179
2020-04-29,54.55061184736646
2020-05-04,53.77045682953684
2020-05-05,52.87367495570352
2020-05-06,50.67860284405972
2020-05-07,48.1749905639103
2020-05-08,51.74100188644546
2020-05-11,47.622562951293936
2020-05-12,47.00357111121642
2020-05-13,45.94998143905321
2020-05-14,46.28426429870231
2020-05-15,45.506404048979
2020-05-19,43.900476009980785
2020-05-20,43.96675579339755
2020-05-21,47.09285159612966
2020-05-22,45.98945331575899
2020-05-26,45.284564835220806
2020-05-27,44.80599840261926
2020-05-28,45.362117480587976
2020-05-29,46.44524452699958
2020-06-01,46.19765494781049
2020-06-02,46.63324032128255
2020-06-03,47.84298264643783
2020-06-04,48.66361660775314
2020-06-05,48.89739789449384
2020-06-09,50.071212458623805
2020-06-10,51.013785878033744
2020-06-12,51.17850741594256
2020-06-15,50.927998904754276
2020-06-16,51.19977403421526
2020-06-17,52.57475697119498
2020-06-18,54.19189188272221
2020-06-19,54.142966442192666
2020-06-22,55.4096139155531
2020-06-23,59.60980169152348
2020-06-24,56.142293062988536
2020-06-26,55.50691195990811
2020-06-29,53.36291620596432
2020-06-30,52.105628535929874
2020-07-02,55.47991478612102
2020-07-06,54.17248662777037
2020-07-07,53.326399089844344
2020-07-08,52.63968275828977
2020-07-09,52.51202876437644
2020-07-10,50.98267080906966
2020-07-13,51.29058708414558
2020-07-14,51.205162696742825
2020-07-15,50.74600540842611
2020-07-16,51.47220259254046
2020-07-17,50.460917742841374
2020-07-20,49.91575361986069
2020-07-21,49.76738478224353
2020-07-22,49.042671786413756
2020-07-23,49.56831984471871
2020-07-24,49.644637711137456
2020-07-27,49.66582373360371
2020-07-28,49.71901775432447
2020-07-29,48.55702722866309
2020-07-30,51.779449657319674
2020-07-31,52.56531340958699
2020-08-04,50.38774802363194
2020-08-05,55.755174193686166
2020-08-06,50.74450850098668
2020-08-07,50.41024854382887
2020-08-10,52.576828298116226
2020-08-11,51.5755251476685
2020-08-12,51.18510530817084
2020-08-13,51.14953556803442
2020-08-14,51.206765655549866
2020-08-17,51.04647888097712
2020-08-18,51.51823988742503
2020-08-19,51.432277756256774
2020-08-20,51.908797500706804
2020-08-21,52.07636881005949
2020-08-24,51.15827256615726
2020-08-25,51.65523371439068
2020-08-26,49.015813331896766
2020-08-27,49.30132411483056
2020-08-28,49.238933157826146
2020-08-31,49.17267830294089
2020-09-01,48.9345049565639
2020-09-02,48.84962079556042
2020-09-03,49.73685164648816
2020-09-04,50.07103783222421
2020-09-08,50.07071798402443
2020-09-09,50.12604053604516
2020-09-10,50.98632296399681
2020-09-11,50.65167007895963
2020-09-14,51.141951226453585
2020-09-15,52.83715713603689
2020-09-16,52.563124300638584
2020-09-17,52.02530480363608
2020-09-18,52.04342494122167
2020-09-21,52.231395019666785
2020-09-22,53.4701591335119
2020-09-23,53.75048882051207
2020-09-24,54.61030715747837
2020-09-25,55.04462505232466
2020-09-28,54.576873967844655
2020-09-29,56.16167334164439
2020-09-30,56.30447165759451
2020-10-05,56.37926578906802
2020-10-06,53.94437606044696
2020-10-07,53.788237468304075
2020-10-08,54.51154188379337
2020-10-09,54.94056043615733
2020-10-14,55.86981529463737
2020-10-15,54.05950563608483
2020-10-16,53.351641524714324
2020-10-19,54.7026903060811
2020-10-20,52.03944488001346
2020-10-21,51.96139938599602
2020-10-22,52.102915677205544
2020-10-23,50.57832025851787
2020-10-27,50.04558886276966
2020-10-28,49.751911682293105
2020-10-29,48.80155240478107
2020-10-30,48.90901405770959
2020-11-03,48.38971503122068
2020-11-04,48.35712908057087
2020-11-05,49.35942677915045
2020-11-06,49.75666918805439
2020-11-09,50.04113623927255
2020-11-10,50.81800040531079
2020-11-11,51.357984353526916
2020-11-12,50.72496704174675
2020-11-13,49.55798060994682
2020-11-17,49.50399060078139
2020-11-18,48.2470980156372
2020-11-19,47.24327137266731
2020-11-23,49.634336556824465
2020-11-24,49.6170253160221
2020-11-25,49.57831169439101
2020-11-27,49.94007410064904
2020-12-01,48.485218643153836
2020-12-02,47.26606844291381
2020-12-03,47.00272319783408
2020-12-04,46.994123842046534
2020-12-07,46.11643780713757
2020-12-08,47.26927230173391
2020-12-09,46.47883480001774
2020-12-10,47.644604209906085
