date,ret_BTC-USD,vol_BTC-USD,ret_ETH-USD,vol_ETH-USD,ret_^GSPC,vol_^GSPC,ret_^GSPTSE,vol_^GSPTSE,ret_^HSI,vol_^HSI,ret_^BVSP,vol_^BVSP,ret_^AXJO,vol_^AXJO,ret_^NSEI,vol_^NSEI,ret_GC=F,vol_GC=F,ret_USDINR=X,vol_USDINR=X
2019-02-08,0.060083959278815394,0.4553062658299888,0.10268696280448861,0.817933088809784,-0.004460708205740281,0.20440907267580333,0.019826275471879335,0.13646117237431765,0.0004286524991979886,0.1831616972117001,-0.016058124775891407,0.2676944836588378,0.05335460345719233,0.2664090754822068,0.004662821125044197,0.15410896464976523,0.0013373623783072617,0.11960371758932185,0.001794057710635932,0.08382241238352424
2019-02-11,-0.011042232165804397,0.44976633083362016,0.010857252960979162,0.8164471044609556,-0.005316533132790804,0.18487317497520342,-0.01292928433299086,0.14535766042487355,0.000979350471410568,0.18324791180838734,-0.012146454608409128,0.26582687546802203,-0.008683756730201933,0.24609732404547383,-0.011045439648147765,0.15720370393314007,-0.011138496619450936,0.1231833199495562,-0.00602538493660925,0.08701686955385637
2019-02-12,0.0025200896497515842,0.4479778815693233,0.01157117561224512,0.8001459997686852,0.013931632039381152,0.14486809992188487,0.007771247659359092,0.14507285106382953,0.002163763487123061,0.16848756342130333,0.026650352709952793,0.27951357947187144,0.00954269605527214,0.24220244507994101,-0.0041615816950821925,0.15549721561848479,0.0028055708431914757,0.12257109676525837,0.0011237791365427525,0.08578311871049715
2019-02-14,-0.015217514296939023,0.43306480246264056,-0.014826868465153815,0.7972180942513456,-0.004771828842885111,0.14538696022989347,-0.004776145778031925,0.13406260837797357,0.004343741349263921,0.16604542829292035,0.013355071056429942,0.238740106127535,-0.012437620743948672,0.23832327610443085,-0.01304722930536878,0.16081070768319944,-0.004677832320746271,0.11990977220220594,-0.005136097052897627,0.07763821719473026
2019-02-15,0.0031286770346568037,0.4324795399885975,0.007876074714110596,0.7994056087073282,0.012862718877025359,0.14471029402061503,0.013915919819570705,0.13813593365230176,-0.017085130783813022,0.18362191784292148,-0.011306501755067337,0.2310050901927839,0.0015863480883144254,0.23809088540253293,2.604281460363836e-05,0.1592760954308541,0.008359510345303158,0.12204767359800804,0.002042714212067758,0.07690133936285566
2019-02-19,0.09595172076284832,0.5540835180793126,0.18394483117174237,1.0419987544077907,0.011167584091777497,0.1445023008221331,0.011164630211719286,0.1325988303657824,0.021370483263436785,0.16982297936985064,0.013635524430517099,0.22748564289528078,0.012316231684318609,0.2368594571896208,-0.0015873353935175753,0.15341890155281765,0.02622289537702059,0.1443494925635165,0.009669962765185513,0.07968092780784322
2019-02-20,0.011874112711233878,0.4499299485790589,0.02714570583301908,0.8788549294837213,0.00037988117347937826,0.1446265510637198,0.002574126010853532,0.13235732514135562,0.008949861922477887,0.17064386507249993,-0.015471002279323182,0.23552685699961112,-0.007961701119290884,0.24028815759696084,0.010891457756365545,0.15815966406228835,0.0009894372229949588,0.14403379782680073,-0.0013956523872614955,0.0796405573607667
2019-02-21,-0.015690572715867816,0.4554327837177499,-0.02735605145570243,0.8861870198057339,-0.007731351759381477,0.15020286027629057,-0.009039790164267925,0.1395425861053208,-0.0002834901811584866,0.170749185747508,0.0003390247186676091,0.23469427808704588,0.002350860434743476,0.23934878270236762,0.000855791173894922,0.1581633661657589,-0.01904824918473314,0.1625516371471321,-0.0041986824335400645,0.08113558477007105
2019-02-22,0.011303168903639277,0.4559648252747305,0.01844990807655465,0.8870953349805313,0.004776356241878107,0.1415922688414183,0.0033393320618398336,0.13885892518337137,0.004721687346067183,0.1496710588264001,0.019527386057025174,0.23800100751230607,0.01151952640569506,0.23735999331138305,-0.001447400516527565,0.1535572393174265,0.0026831956254780047,0.1614976842051694,-0.001614282452832166,0.07915894827487238
2019-02-25,-0.03331093941533507,0.4718547656615365,-0.0663559738141436,0.9051971662500926,-0.000934606769318225,0.12913586158005574,-0.0065851369724875255,0.13605468248017935,0.002822705958795992,0.11724528282149664,-0.014164603834289847,0.24114701973068464,-0.006152293169786189,0.23455531994657558,0.0059969622944332605,0.13035873242284038,-0.00465143943066294,0.16160149514896183,-0.0021657112190699825,0.07153156479023502
