date,hedge_BTC-USD_with_GC=F,hedge_BTC-USD_with_^GSPC,hedge_ETH-USD_with_^NSEI
2019-02-11,0.539930282577685,1.3433764455147275,1.2202938725077541
2019-02-12,0.7353459434643863,1.5313471049038838,1.4318501326026496
2019-02-14,0.6955443416786673,1.0214364822961686,1.4863915504049345
2019-02-15,0.7182444837666904,1.0905849970650519,1.5578634643970404
2019-02-19,0.6739999342376897,0.9793916679307096,1.5102524308626353
2019-02-20,1.0339848362306936,1.2405462016940365,1.896421097846224
2019-02-21,1.0331311169502495,1.2839591050982244,1.5019432088585025
2019-02-22,1.0392754410770952,1.3050320510292774,1.5178180494277762
2019-02-25,1.0344583345157121,1.3415553933074278,1.5418021715999144
2019-02-26,1.1009119523336415,1.4631750765066478,1.3541714182493196
2019-02-27,1.100495190587473,1.5170247298700226,1.3956082311388422
2019-02-28,1.0933697567111251,1.5417530583699266,1.4392818388167932
2019-03-01,1.0868828042795162,1.5804437742514097,1.4150304001119256
2019-03-06,1.0273313317375214,1.6176364417236517,1.3942879061725095
2019-03-07,0.9997620127097028,1.2718265489054692,1.0472443943534666
2019-03-08,1.0012667652873832,1.12866507406447,1.084476032662574
2019-03-11,0.9207476924180116,1.175749436128594,1.115040274752089
2019-03-12,0.9112135638741814,1.1271582079975688,1.0714188416513803
2019-03-13,0.8969621395370946,1.1714894742951667,0.9848401569437639
2019-03-14,0.8522144887176937,1.1249424703424187,0.9697604843916611
2019-03-15,0.8260096744125639,1.1562304606767693,0.9836991701037827
2019-03-18,0.8239271167967537,1.1947029629658028,0.9999643974799504
2019-03-19,0.8112740757075741,1.219126058884243,0.998929073376322
2019-03-20,0.8109851899633264,1.2060186963769821,1.0021046140197951
2019-03-22,0.8096588030746443,1.1780815607569712,0.9261081371399802
2019-03-25,0.7887642100994784,1.1000833989451468,0.9819529745455721
2019-03-26,0.7016943536157696,1.129161687460926,1.0068854648202517
2019-03-27,0.6897648846795459,1.149481261966201,0.9502286693158775
2019-03-28,0.7351761558077007,1.2354398226730914,1.0197295726138553
2019-04-01,0.7157976872936266,1.2536797140862297,0.8883001420048828
2019-04-02,0.7285583656877658,0.9819692708675367,0.8754652123366852
2019-04-03,0.9212511006439315,1.1223916361867339,0.9865054581231801
2019-04-04,0.903048109961151,1.1507985147794992,0.994691649226231
2019-04-08,0.8937231904824957,1.1889345546538816,1.0454677572393178
2019-04-09,1.0594617961943922,1.338033665104988,1.3451259923878576
