date,garch_vol_BTC-USD,garch_vol_ETH-USD,garch_vol_^GSPC,garch_vol_^GSPTSE,garch_vol_^HSI,garch_vol_^BVSP,garch_vol_^AXJO,garch_vol_^NSEI,garch_vol_GC=F,garch_vol_USDINR=X
2019-02-08,,,,,,,,,,
2019-02-11,0.03922865143787228,0.06015892123369276,0.008673143601316926,0.010736696088155903,0.01057027847762126,0.018536426220200304,0.018593822656708597,0.008238545623379386,0.01101919928012076,0.004864426847569361
2019-02-12,0.0434321702204942,0.06332962876693678,0.008211981542120696,0.01607976565563828,0.010450356122407104,0.017821146905084226,0.0274678534807967,0.009584655143931243,0.011109954043079039,0.00515742713775049
2019-02-14,0.042724885898968,0.06255167203770687,0.010505005509675383,0.014494005441841738,0.01035207220053256,0.02068387397463531,0.02485009549929156,0.009110433250098703,0.010971314146941665,0.005036411233936639
2019-02-15,0.0426204543673732,0.062491954228709394,0.01009318482759552,0.013569180441295648,0.010297000479025835,0.020195384364094262,0.0246144466667911,0.009282796384811146,0.010718929236773951,0.004971869356430628
2019-02-19,0.041523212483321095,0.06080180955263951,0.01063934229071774,0.013032848709650624,0.011581884925262263,0.0197671813273243,0.02217997184662103,0.009070658613689947,0.01077625401354726,0.00491181795654268
2019-02-20,0.04774687420440582,0.07294804254995822,0.010467209674474485,0.012058330022190793,0.0131539390351157,0.019331348426870183,0.019892344310524515,0.008723277887932347,0.012138523969218148,0.005615253725239819
2019-02-21,0.04642637923754766,0.07079504499596292,0.009881759372888441,0.011049182981548193,0.012903320453259488,0.019216598207072035,0.018871093485928195,0.00981951269699167,0.011800792234783539,0.005422195257804559
2019-02-22,0.046301617476403975,0.07131216397486019,0.010164309862483362,0.011566101842999643,0.012560668833741781,0.018425660402136584,0.01706842224561959,0.00936161120178276,0.012533709413367596,0.005357632122256043
2019-02-25,0.04498344722843578,0.06915666523865395,0.00958046072461588,0.010563291602857223,0.012232797106963176,0.018548155814717932,0.015559856042717889,0.008910588781843977,0.012158660918653282,0.005160589661666045
2019-02-26,0.04595327956886926,0.07227026981902238,0.00908818298674389,0.010485826443790551,0.011924569301735799,0.018388033098204776,0.014878388447573873,0.008910959260508023,0.011866614242201125,0.0049816937712990035
2019-02-27,0.044912413001313364,0.07057699964297959,0.008602424915308448,0.009734080194381095,0.011894516479454349,0.01770939948253358,0.014724023843230094,0.008558974607309745,0.011532107510529249,0.004802371003807354
2019-02-28,0.04379257116388964,0.0690366964292862,0.008313183641048456,0.009358440868748675,0.011699491881839672,0.01712481299359848,0.01358474248034819,0.008309570098656434,0.011366065543203192,0.004636784513783867
