date,weight_BTC-USD,weight_GC=F,weight_^GSPC,weight_ETH-USD,weight_^NSEI
2019-02-11,0.0,0.9634689449274275,1.0,0.0,1.0
2019-02-12,0.0,0.9821324002817587,1.0,0.0,1.0
2019-02-14,0.0,0.9793924482549201,1.0,0.0,1.0
2019-02-15,0.0,0.9816727270131461,1.0,0.0,1.0
2019-02-19,0.0014438626981517562,0.9775160863057868,0.9985561373018482,0.0,1.0
2019-02-20,0.0,1.0,1.0,0.0,1.0
2019-02-21,0.0,1.0,1.0,0.0,1.0
2019-02-22,0.0,1.0,1.0,0.0,1.0
2019-02-25,0.0,1.0,1.0,0.0,1.0
2019-02-26,0.0,1.0,1.0,0.0,1.0
2019-02-27,0.0,1.0,1.0,0.0,1.0
2019-02-28,0.0,1.0,1.0,0.0,1.0
2019-03-01,0.0,1.0,1.0,0.0,1.0
2019-03-06,0.0,1.0,1.0,0.0,1.0
2019-03-07,0.0,0.9999798209676368,1.0,0.0,1.0
2019-03-08,0.0,1.0,1.0,0.0,1.0
2019-03-11,0.0,0.9927754461998958,1.0,0.0,1.0
2019-03-12,0.0,0.991530527243158,1.0,0.0,1.0
2019-03-13,0.0,0.9901840770258742,1.0,0.00036752991876618613,0.9996324700812338
2019-03-14,0.0,0.9853303335446605,1.0,0.0007219267113121079,0.9992780732886879
2019-03-15,0.0,0.9820019395041023,1.0,0.0003830866007308311,0.9996169133992692
2019-03-18,0.0,0.9819295140870522,1.0,8.192264835202474e-07,0.9999991807735165
2019-03-19,0.0,0.9807370098259471,1.0,2.485607443984921e-05,0.9999751439255602
2019-03-20,0.0,0.9808870407032538,1.0,0.0,1.0
2019-03-22,0.0,0.9803088621278007,1.0,0.0019670586330236047,0.9980329413669764
2019-03-25,0.0,0.9794253266187475,1.0,0.0005882359940912732,0.9994117640059087
2019-03-26,0.0,0.9698663841857859,1.0,0.0,1.0
2019-03-27,0.0,0.9679810256069558,1.0,0.0017434465069615785,0.9982565534930384
2019-03-28,0.0,0.974104801376323,1.0,0.0,1.0
2019-04-01,0.0,0.9693987268233547,1.0,0.004023918679193587,0.9959760813208064
2019-04-02,0.001902622885082993,0.9718067495861679,0.998097377114917,0.004823547872158935,0.9951764521278411
2019-04-03,0.0,0.9971818773652011,1.0,0.00030133092200182785,0.9996986690779982
2019-04-04,0.0,0.9964263178604337,1.0,0.0001397321077761399,0.9998602678922238
2019-04-08,0.0,0.9960271448572685,1.0,0.0,1.0
2019-04-09,0.0,1.0,1.0,0.0,1.0
2019-04-10,0.0,0.9977602264457627,1.0,0.0,1.0
2019-04-11,0.0,0.9972505473109889,1.0,0.0,1.0
2019-04-12,0.0,1.0,1.0,0.0,1.0
2019-04-15,0.0,1.0,1.0,0.0,1.0
2019-04-16,0.0,1.0,1.0,0.0,1.0
2019-04-18,0.0,1.0,1.0,0.0,1.0
2019-04-23,0.0,1.0,1.0,0.001145195456199717,0.9988548045438003
2019-04-24,0.0,1.0,1.0,0.0005811966646314985,0.9994188033353685
2019-04-26,0.0,1.0,1.0,0.0032394117497171115,0.9967605882502829
2019-04-30,0.0,0.9955485645909726,1.0,0.005699779650497441,0.9943002203495026
2019-05-02,0.0,0.9943300198708777,1.0,0.007071297721435648,0.9929287022785643
2019-05-03,0.0,0.9889350864136224,1.0,0.006645575648072379,0.9933544243519277
2019-05-06,0.0,0.9911797742983298,1.0,0.007417380960939521,0.9925826190390605
2019-05-07,0.0,0.990966753219562,1.0,0.015285474862823539,0.9847145251371765
2019-05-08,0.0,0.9901490959741042,1.0,0.013645403959473345,0.9863545960405267
2019-05-09,0.0,0.9911025812042795,1.0,0.013601421604624362,0.9863985783953756
2019-05-10,0.0,0.9920356125573493,1.0,0.012519652883228536,0.9874803471167715
2019-05-14,0.0,0.9938837509174118,1.0,0.011336418926836348,0.9886635810731637
2019-05-15,0.010744968630299672,1.0,0.9892550313697003,0.00451877766019577,0.9954812223398042
2019-05-16,0.009635917721786971,1.0,0.990364082278213,0.0089335640509784,0.9910664359490216
2019-05-17,0.010362161363454797,1.0,0.9896378386365452,0.008096130598432588,0.9919038694015674
2019-05-21,0.007068442723625017,1.0,0.9929315572763749,0.013912288310873547,0.9860877116891265
2019-05-23,0.005704442606751119,1.0,0.9942955573932489,0.021503537638189532,0.9784964623618104
2019-05-24,0.009810294049553105,1.0,0.9901897059504469,0.01893715887703411,0.9810628411229659
2019-05-28,0.008637111902650632,1.0,0.9913628880973494,0.02173724010320343,0.9782627598967966
2019-05-29,0.012940716595194768,1.0,0.9870592834048052,0.018123191689064615,0.9818768083109354
2019-05-30,0.011790455156019975,1.0,0.98820954484398,0.016719947946931032,0.983280052053069
2019-05-31,0.010097682747927071,1.0,0.9899023172520729,0.016212166408327847,0.9837878335916721
2019-06-03,0.013251601784757072,1.0,0.986748398215243,0.014951835566090015,0.98504816443391
2019-06-04,0.010330973011535391,1.0,0.9896690269884646,0.0157630825289434,0.9842369174710566
2019-06-06,0.019516268826712382,1.0,0.9804837311732876,0.014202580919040489,0.9857974190809595
2019-06-11,0.029944587022858134,1.0,0.9700554129771418,0.01600079716531658,0.9839992028346835
2019-06-12,0.03240938986494495,1.0,0.9675906101350551,0.017229551401257214,0.9827704485987427
2019-06-13,0.030057549251056036,1.0,0.9699424507489439,0.018736181793018773,0.9812638182069813
2019-06-14,0.02950504233991532,1.0,0.9704949576600846,0.018515438491973554,0.9814845615080264
2019-06-17,0.025384705984627255,1.0,0.9746152940153727,0.019614461056887522,0.9803855389431124
2019-06-18,0.02092816926730551,1.0,0.9790718307326944,0.02636364302010839,0.9736363569798916
2019-06-19,0.028633333408031623,1.0,0.9713666665919684,0.02640174135085037,0.9735982586491496
2019-06-21,0.026464687582073154,0.9997975843290435,0.9735353124179269,0.02608941363953115,0.9739105863604689
2019-06-24,0.018923650822060566,1.0,0.9810763491779394,0.020967712137531576,0.9790322878624684
2019-06-25,0.01797882673487528,1.0,0.9820211732651247,0.021766503560274795,0.9782334964397252
2019-06-26,0.021294662726818975,1.0,0.978705337273181,0.022561785575107487,0.9774382144248925
2019-06-27,0.016891130443338283,1.0,0.9831088695566618,0.020179039440653426,0.9798209605593465
2019-06-28,0.010680329169751894,1.0,0.9893196708302481,0.011301822186886409,0.9886981778131136
2019-07-02,0.00866888245573546,1.0,0.9913311175442645,0.014332494537226403,0.9856675054627736
2019-07-03,0.01000217841740321,1.0,0.9899978215825967,0.016340851925619918,0.98365914807438
2019-07-05,0.008193159922496036,1.0,0.991806840077504,0.01589490522235705,0.984105094777643
2019-07-08,0.005894115729727288,1.0,0.9941058842702727,0.014744978259112898,0.9852550217408871
2019-07-10,0.008566153295833096,1.0,0.9914338467041669,0.038494932428746804,0.9615050675712532
2019-07-11,0.010233436830689826,1.0,0.9897665631693102,0.03193346457309239,0.9680665354269076
2019-07-12,0.00821148711289344,1.0,0.9917885128871066,0.02680576280637369,0.9731942371936263
2019-07-15,0.00819778990772971,1.0,0.9918022100922703,0.024952252174375474,0.9750477478256245
2019-07-16,0.006260869384986533,1.0,0.9937391306150135,0.01563907271516657,0.9843609272848335
2019-07-17,0.003938062332403298,1.0,0.9960619376675967,0.016555896529738993,0.983444103470261
2019-07-18,0.004149950241480768,1.0,0.9958500497585192,0.015305393524827644,0.9846946064751724
2019-07-19,0.0032338339364242044,1.0,0.9967661660635758,0.017294407738039017,0.982705592261961
2019-07-22,0.0031050494456890776,1.0,0.9968949505543109,0.01934835186020732,0.9806516481397927
2019-07-23,0.0030292939094397064,1.0,0.9969707060905603,0.01874571244402979,0.9812542875559702
2019-07-24,0.006474143352216443,1.0,0.9935258566477836,0.01823320586373072,0.9817667941362693
2019-07-25,0.0062067401519079945,1.0,0.993793259848092,0.01885955741626378,0.9811404425837362
2019-07-26,0.00612838314297274,1.0,0.9938716168570273,0.01810494722080576,0.9818950527791942
2019-07-29,0.006964934656719621,1.0,0.9930350653432803,0.017692365027931412,0.9823076349720686
2019-07-30,0.005860705172036215,1.0,0.9941392948279638,0.017902799382436378,0.9820972006175637
2019-07-31,0.0055796373713411914,1.0,0.9944203626286588,0.018423316369078284,0.9815766836309218
2019-08-01,0.009292601200266181,1.0,0.9907073987997338,0.017253099335224915,0.9827469006647751
2019-08-02,0.009838256151013273,1.0,0.9901617438489867,0.01788932988555519,0.9821106701144449
2019-08-06,0.01189793254248025,1.0,0.9881020674575197,0.01716513003777416,0.9828348699622258
2019-08-07,0.005165646527623745,1.0,0.9948343534723763,0.02455262639498593,0.9754473736050141
2019-08-08,0.004989748245441171,1.0,0.9950102517545588,0.025597623973558525,0.9744023760264415
2019-08-09,0.012639560726596187,1.0,0.9873604392734038,0.03134513838081016,0.9686548616191898
2019-08-13,0.01603945690612169,1.0,0.9839605430938783,0.025020445308252995,0.974979554691747
2019-08-14,0.026701169475679538,1.0,0.9732988305243204,0.02276290554704908,0.9772370944529509
2019-08-16,0.03411609257949315,1.0,0.9658839074205069,0.016078188304423438,0.9839218116955766
2019-08-19,0.04066794961354048,1.0,0.9593320503864595,0.017646392111925854,0.9823536078880741
2019-08-20,0.0335640096009626,1.0,0.9664359903990374,0.0185166761034847,0.9814833238965153
2019-08-21,0.028804840700403,1.0,0.971195159299597,0.019978647555641695,0.9800213524443583
2019-08-22,0.022368301768756822,1.0,0.9776316982312432,0.017621150750504175,0.9823788492494958
2019-08-23,0.019177910915577082,1.0,0.9808220890844229,0.029976743885918485,0.9700232561140815
2019-08-26,0.02964148843424969,1.0,0.9703585115657503,0.031981182901623995,0.968018817098376
2019-08-27,0.02612443489153922,1.0,0.9738755651084607,0.037560138241932196,0.9624398617580678
2019-08-28,0.02350908574088255,1.0,0.9764909142591175,0.03988226664562162,0.9601177333543783
2019-08-29,0.01635247852025595,1.0,0.9836475214797441,0.029481434182603405,0.9705185658173966
2019-08-30,0.029520217916135114,1.0,0.9704797820838649,0.026168611528069208,0.9738313884719307
2019-09-03,0.02650132433117692,1.0,0.9734986756688231,0.023692031660280756,0.9763079683397192
2019-09-04,0.018263393997937256,1.0,0.9817366060020627,0.033729524568907765,0.9662704754310922
2019-09-05,0.025775397872408436,1.0,0.9742246021275915,0.03573036506317888,0.9642696349368212
2019-09-06,0.02371442353200449,1.0,0.9762855764679955,0.03309537683585742,0.9669046231641426
2019-09-09,0.021316383259189938,1.0,0.9786836167408101,0.0374956089640637,0.9625043910359363
2019-09-11,0.020073949642936288,1.0,0.9799260503570637,0.03322563835551222,0.9667743616444878
2019-09-12,0.022198615081009964,1.0,0.97780138491899,0.03226803062257623,0.9677319693774238
2019-09-13,0.01977376233674691,1.0,0.9802262376632531,0.0335444779962544,0.9664555220037456
2019-09-16,0.017618090548684885,1.0,0.9823819094513151,0.032287480649217014,0.967712519350783
2019-09-17,0.016290846381062263,1.0,0.9837091536189377,0.03555308729418248,0.9644469127058175
2019-09-18,0.021527243290258284,1.0,0.9784727567097418,0.03508738615140562,0.9649126138485944
2019-09-19,0.018515840989424347,1.0,0.9814841590105756,0.03323220150616063,0.9667677984938394
2019-09-20,0.016529809901404808,1.0,0.9834701900985952,0.04400683518270252,0.9559931648172975
2019-09-23,0.014255954179337291,1.0,0.9857440458206627,0.15823413261869826,0.8417658673813018
2019-09-24,0.006334190978175583,1.0,0.9936658090218244,0.14163495693859532,0.8583650430614047
2019-09-25,0.0,1.0,1.0,0.07289730204862993,0.9271026979513701
2019-09-26,0.0,1.0,1.0,0.06763256798727257,0.9323674320127274
2019-09-27,0.0,1.0,1.0,0.06523211715156217,0.9347678828484378
2019-09-30,0.0,1.0,1.0,0.06051131704582163,0.9394886829541784
2019-10-04,0.0,0.9968285742577511,1.0,0.061105613477620196,0.9388943865223798
2019-10-09,0.0,0.9776033747327418,1.0,0.06558215793627978,0.9344178420637202
2019-10-10,0.0,0.9809029444563503,1.0,0.05545169153650729,0.9445483084634927
2019-10-11,0.0,0.9808365629376448,1.0,0.05125910862645353,0.9487408913735464
2019-10-15,0.0,0.9852372496843644,1.0,0.04471866750773079,0.9552813324922692
2019-10-16,0.003384532716155077,0.9852191529858831,0.9966154672838449,0.05004088660273675,0.9499591133972632
2019-10-17,0.0018811191049224343,0.9820747216247282,0.9981188808950776,0.04775274439248681,0.9522472556075132
2019-10-18,0.00046022674232373855,0.9821390565563436,0.9995397732576763,0.04615515461380792,0.9538448453861921
2019-10-22,0.0,0.9839178280103806,1.0,0.04283324246628069,0.9571667575337193
2019-10-23,0.0,0.9817069041733074,1.0,0.04329687082648181,0.9567031291735182
2019-10-24,0.0,0.9860908641284901,1.0,0.03732225730206645,0.9626777426979336
