date,BTC-USD__ETH-USD,BTC-USD__^GSPC,BTC-USD__^GSPTSE,BTC-USD__^HSI,BTC-USD__^BVSP,BTC-USD__^AXJO,BTC-USD__^NSEI,BTC-USD__GC=F,BTC-USD__USDINR=X,ETH-USD__^GSPC,ETH-USD__^GSPTSE,ETH-USD__^HSI,ETH-USD__^BVSP,ETH-USD__^AXJO,ETH-USD__^NSEI,ETH-USD__GC=F,ETH-USD__USDINR=X,^GSPC__^GSPTSE,^GSPC__^HSI,^GSPC__^BVSP,^GSPC__^AXJO,^GSPC__^NSEI,^GSPC__GC=F,^GSPC__USDINR=X,^GSPTSE__^HSI,^GSPTSE__^BVSP,^GSPTSE__^AXJO,^GSPTSE__^NSEI,^GSPTSE__GC=F,^GSPTSE__USDINR=X,^HSI__^BVSP,^HSI__^AXJO,^HSI__^NSEI,^HSI__GC=F,^HSI__USDINR=X,^BVSP__^AXJO,^BVSP__^NSEI,^BVSP__GC=F,^BVSP__USDINR=X,^AXJO__^NSEI,^AXJO__GC=F,^AXJO__USDINR=X,^NSEI__GC=F,^NSEI__USDINR=X,GC=F__USDINR=X,avg_system_corr
2019-02-11,0.8282402066236975,0.29700987404648543,0.2924330484763651,0.08404528030139767,0.1918848012622375,0.12503940582178683,0.13005484294087602,0.15166464211796796,0.08129449818488625,0.2911367823049096,0.28572020258229675,0.10580414789652512,0.16155529014150272,0.14454311006533763,0.1671148108446264,0.1305762339287432,0.03822781001022436,0.7197076266032162,0.22461950952470636,0.4274214876770596,0.2916506880367877,0.2924535298545655,0.139996824790457,0.21110260075336454,0.16818621683668422,0.5278047884109566,0.4478886351268441,0.2633814181777704,0.24418529914440174,0.40046656285502497,0.10414821130629628,0.2300397999398901,0.33302131748049973,0.12443520228436226,0.06770028625717904,0.2821336114341086,0.22029845813873572,0.1139568410779386,0.3370549288270236,0.29397558412168734,0.08838309217698495,0.32624410454747244,0.11202446857623848,0.15398254056417018,0.2844893423784331,0.24304662143228278
2019-02-12,0.8377212400657266,0.2895410037354431,0.3666871867369023,0.07881948928778461,0.17633358983000108,0.2260772381238741,0.1930345872926444,0.1881015753110792,0.1352769347523001,0.28678404895464255,0.34492541243924,0.10140801216161013,0.15057178021738268,0.2240118222571142,0.2167040926340233,0.1619322637120434,0.08496262380556768,0.6651173744215146,0.22448737939688207,0.4267670095687284,0.26893086277845263,0.2855489899177665,0.14036969886577888,0.20906191384569364,0.1511275373500938,0.47144121566353486,0.5430485571750785,0.33914306906123304,0.28566918417018033,0.44494853708946325,0.10432629292736992,0.2041595010673373,0.3189846243441549,0.12156117169816127,0.06445473116852833,0.24120273201566755,0.20419385387401542,0.10749130340983194,0.32234744724055336,0.3705998223930981,0.14871654333814902,0.38082972659726433,0.14970225641420273,0.20255645709187176,0.3091696069344662,0.26153000669192117
2019-02-14,0.838584589908429,0.2511462733845192,0.3619572852519886,0.07705835610701,0.14297010793651066,0.2287245403641396,0.19292261336151198,0.17860868004959776,0.12733438305473788,0.2388975963067244,0.33847100535010705,0.09871072904023043,0.1090957795718024,0.22802530604490942,0.2164877542411946,0.14939101498499874,0.07473719273630071,0.64382233255544,0.2198308263223213,0.4822969298950189,0.23681647912751935,0.26730412475462306,0.16361632260232897,0.22443107270889645,0.15188891023049222,0.4589338362581261,0.538694707166103,0.3376703218886803,0.2872113235713915,0.44565282491057784,0.10544458011546272,0.20272930647901458,0.31873471745431714,0.1230007397522997,0.06598313546449992,0.20974725649412088,0.18947720568772938,0.13297970339999007,0.3318107395572215,0.37002950807772556,0.1410497973028302,0.37303560117663265,0.14713549228592893,0.2000995540030088,0.314758558828551,0.2563846470170125
2019-02-15,0.8408147793043552,0.2582674471440338,0.36769571060951955,0.07136424709505351,0.1312121485699853,0.24173762272765956,0.20588734577721807,0.18063654905781457,0.13799779863666234,0.24712417659878044,0.3454777913348197,0.0917870365125763,0.09576874482060488,0.24368288784343559,0.2314110594526822,0.1519376901590376,0.08805083143373027,0.6470129295650878,0.21539154716060657,0.47080656384881076,0.2462275973083113,0.27549336204188524,0.16524707125644197,0.23100542403688923,0.14728921558383315,0.447537199609833,0.5430716173884738,0.3450587121371149,0.2882727919121989,0.45056585076011063,0.10904520274160842,0.19295307835882258,0.3084401431169408,0.12143388406912282,0.06053947280788719,0.19193920005888332,0.1732142932585591,0.12926756313793916,0.31810849021861887,0.3841696024096493,0.14363323199895386,0.383256669022979,0.1496805895362272,0.2125748808256204,0.31579957644338125,0.25773088061539473
2019-02-19,0.8405716565010292,0.25094597861322204,0.362121718879325,0.07460044407463871,0.13325189534410098,0.24132569157929645,0.20229956969588495,0.1749188962529555,0.13409726028678867,0.23536857889641916,0.3370037709982281,0.10103564286179262,0.10047358146728005,0.24442603434725352,0.2253055348458059,0.14260195370416298,0.08158273920355066,0.653389642289096,0.15829933247149908,0.44392883246200243,0.23439078346378794,0.28607509129020287,0.18707355139186282,0.2454336732123452,0.11120624141110781,0.4321980591728916,0.5327914884628464,0.3508780555079307,0.29986056207791906,0.4570697845436592,0.13069847547636365,0.1987393383783188,0.27224030776008956,0.07509419765041929,0.028026687698907194,0.19628316693445538,0.16324950654876305,0.11200113997938853,0.30366449009430374,0.3770236272362649,0.1340280032298252,0.3744864885415142,0.1607399539598718,0.2199648290684722,0.32699303433321997,0.25217242871553475
2019-02-20,0.8572394140634109,0.271956173474621,0.36334114827225,0.15526060705365208,0.15645542376934507,0.23499937371363122,0.2066510979156391,0.26286641644148073,0.21269180058462295,0.25882730347311866,0.33651682205095806,0.19336255404938646,0.12888906539919254,0.23427858898792808,0.22677795936362302,0.25105043667103966,0.18028964553438634,0.6559119520894336,0.18266542603130068,0.4496198573297321,0.2358461610302476,0.28949315619877086,0.21220967384629363,0.26535917391962066,0.12560775080467568,0.4365291377696219,0.53216796023129,0.3520964681129902,0.3032642579267525,0.45493296956819496,0.1514255315007214,0.19717262980503322,0.27545283921748387,0.164078024405138,0.10800624646273461,0.19823296176525912,0.1675951322023925,0.13760837672486212,0.31739515398304696,0.37675456516266836,0.1329427779458934,0.3639104215866926,0.16723656897526737,0.22384828965022244,0.39381985413512793,0.2756141588711057
2019-02-21,0.8571236059462284,0.2732880558333196,0.3634478092272164,0.15160843418241995,0.15969815750357666,0.2361267600546729,0.19157846298441308,0.26260427504024586,0.21264070542872035,0.2606636001342614,0.337130431628867,0.18848708103847478,0.13380035291712983,0.23686105624142834,0.2083246138255495,0.2509948193710464,0.18067674203720477,0.6570816467904639,0.17899294843791985,0.4510941582247441,0.23985643195549256,0.2694602059261089,0.21265877369118874,0.2664066454871913,0.12287025522337239,0.438212115438334,0.5317107937007555,0.33159302652774314,0.3035297539214228,0.4553269259631766,0.13973108760659803,0.18705814581314195,0.28497940078338857,0.16076893710147852,0.10374160475672208,0.21100680726699741,0.13042983447995316,0.14033542388184467,0.32063046742153656,0.3342004072747817,0.1353148316057464,0.3661334123918992,0.15378443799875624,0.20490779515231672,0.39364562457578006,0.2717892636176362
2019-02-22,0.8589453036649538,0.2864856752335626,0.37539362425887357,0.1540779759204977,0.15843831909658243,0.23708766114429436,0.18456542395127384,0.2813287545634429,0.22165666857380167,0.27779197453103227,0.353907134301463,0.19088087106972315,0.13200207845507092,0.23801371179534664,0.19925383920196657,0.2770237507119254,0.1926840083076776,0.6667982625999075,0.1827851200955537,0.44491107098432964,0.2422876463673645,0.2598671398624409,0.24193818063746853,0.27809613468058214,0.1277157316466766,0.43149270615335483,0.5279428758654342,0.3180661194428121,0.33369198275051876,0.46446295178102653,0.13913827828538802,0.1884098145865832,0.2835064101625369,0.16425292353014884,0.10670697282586866,0.2114563733610818,0.1313798514827021,0.13431742043259748,0.3183819040401378,0.3320207344819868,0.13847940745015788,0.3668522258134114,0.1372880546438768,0.1983448336926874,0.40554572974685527,0.27545941404855506
2019-02-25,0.8585375106621426,0.28572107180246603,0.37458531723230576,0.1529125912353599,0.15441267123317662,0.23507350173144553,0.18393899319081278,0.2796056971796613,0.22068589005552666,0.2760716492829745,0.35310129172915405,0.1889238290986771,0.12486271807500791,0.23513206465598935,0.19865569120012952,0.27450830171548407,0.1922517201253723,0.6667447106080214,0.1839297374078189,0.4449882699166744,0.24395551582098612,0.26014282932229615,0.24156937587987595,0.2757962906015121,0.12801218207070733,0.4271011459494329,0.526605988624579,0.31751428287081,0.3327014980065004,0.46365781606232753,0.14078795718817794,0.18960612290825768,0.28400876638851175,0.16432189881673598,0.10540263759688692,0.21587398684371625,0.13130239625506335,0.13597151850616018,0.3096232333395728,0.331498789209785,0.13880810141998048,0.36449474700209006,0.13708458878168478,0.19766465201382194,0.4032687877749375,0.2744759630531692
2019-02-26,0.8622198510181515,0.2893722267853906,0.3870811465656697,0.1501928278917484,0.17184373273538156,0.24806469994975178,0.15936687291977109,0.2842908618392061,0.223664741112614,0.2796707800611494,0.3690940189574952,0.18403754552843735,0.14730828026250245,0.2514062830232625,0.16696999153292047,0.27962023704806244,0.19597543231878525,0.6669355600621831,0.18415641814583436,0.44672339881424733,0.24793588126098362,0.2524233864825845,0.24276708224595414,0.27671192802705424,0.1273323588689259,0.4374150905198485,0.5328911848104798,0.2956636083933197,0.33652952664721547,0.4645928210502708,0.1393571161609926,0.1887900717423139,0.2823270079555043,0.16362095564159937,0.10491466189328573,0.22761535802643848,0.11496736314195555,0.14217333855646122,0.3129127026815838,0.31240455451565713,0.14428179079452896,0.3666244545333307,0.1278625607458505,0.18982885821940415,0.4037707040137721,0.2751935394111528
