date,resid_BTC-USD,resid_ETH-USD,resid_^GSPC,resid_^GSPTSE,resid_^HSI,resid_^BVSP,resid_^AXJO,resid_^NSEI,resid_GC=F,resid_USDINR=X
2019-02-08,,,,,,,,,,
2019-02-11,-1.8131184437289285,-1.5264520699563198,-0.09867528619273087,-3.050804412821569,0.05209871938364762,0.21102612342931065,-3.336503812733254,-1.906678859508263,-1.1321928826775314,-1.6074746095014856
2019-02-12,-0.5065547909547602,-0.7137406795298841,2.2918040684960412,0.2688317841497274,0.1396853834185473,2.2867575593844953,-0.46573451096813007,-0.10123185643717725,0.6936246481202863,0.6281121696936458
2019-02-14,-0.7584522666209365,-0.9037647928949566,-0.5860659223356004,-0.6668659501726305,0.30459143531262145,0.670722836135944,-1.2277136589772542,-1.046327396032842,-0.21382833663696146,-0.8141209085798116
2019-02-15,-0.13977792283602636,-0.31517746975787,1.2896898882644443,0.8433004936460392,-1.851413698036985,-0.7059391687506127,-0.3598550290880381,0.6381590147970003,1.0521442045056353,0.8253687302427025
2019-02-19,2.1206722600791723,2.6366306007326554,0.819461175939963,0.4912991615578716,2.0035087560045666,0.6848045596871332,0.1642823392288501,0.34459922717795893,2.494899657886732,2.221203849117612
2019-02-20,-0.22402871065852098,-0.31811498735542504,-0.33650448150520645,-0.26990867102447813,0.5258033498237561,-0.9221281272581748,-0.8667380350938971,1.7291181480809263,-0.23303748611577008,-0.35151116161978957
2019-02-21,-0.7912152721561829,-1.0508150572463755,-1.1263495753842676,-1.3035908935608254,-0.2561373204119881,0.027612351516123707,-0.23664899872815565,0.29462914720767375,-1.9034580583531702,-0.8289778002778738
2019-02-22,-0.11118102151228423,-0.2704654612249727,0.27239251845215295,-0.019370424319511487,0.16824608391058585,1.0665913427795892,0.3082340411542874,0.02438507913627195,0.16570679929973772,-0.2517193321272048
2019-02-25,-1.0935130121979988,-1.4741934970936825,-0.3392229739183286,-0.958377023814914,-0.0016764199392153422,-0.874640473520844,-0.8351821489227323,0.8582240501058145,-0.45140523353694595,-0.3391476247144656
2019-02-26,-0.37984654284935493,-0.5125495081038971,-0.2146559074947811,0.29581632944364783,-0.7019226638955122,0.2835595893514295,-1.0884930613918447,-0.27048143127055135,-0.005184817870525777,0.28520049780018164
2019-02-27,-0.27486020284148316,-0.5450308190536455,-0.5195404946850548,-0.6454748475605802,-0.39197984086087134,-0.391871184822235,-0.36552931666557664,-0.4270398323319517,-0.6932732061479593,-0.3437420720998662
2019-02-28,-0.08806055231522536,-0.1558885026140753,-0.09047335331614324,-0.5080505092488147,-0.21295146384655114,-1.1665811051922266,0.6829427354595472,0.4352723991627975,0.015492762687823215,0.8878657378073197
2019-03-01,-0.28331899613457767,-0.38112036716426845,0.028068110721992008,-0.1566193231446925,-0.037818905730143,-0.5145693848374585,0.04986864581574459,0.2990310501580376,-1.578014178620698,-1.083593922016711
2019-03-06,0.07697138468761605,-0.0026266194803103203,-1.8611663337954174,1.5360690486612822,0.4801943687168514,0.22798096812697324,0.44026406686288116,2.189908020220358,-0.7251319534861372,-0.0863504743962144
2019-03-07,-0.2667830475630918,-0.42787046282606134,-1.5698622019493997,-0.378635716462712,-1.4578173548769235,0.8542031213129111,0.025982647223807658,-0.5267905969302347,-0.3557493745934497,-1.052126693732034
2019-03-08,-0.19243961485750613,-0.553193804176277,0.001408478866149677,-0.4921620556298464,-1.540137778160169,1.3392135980905984,-1.0469052622416752,-0.021177939254281238,1.2989029314386193,0.6028758658495087
2019-03-11,-0.31856853074494046,-0.4843129066051555,0.8440776968977332,-0.5265493609676352,0.22048027199641432,0.31539425919818026,-1.6185115188488362,0.5599938265520179,-1.053993192570001,-1.4500298848864144
2019-03-12,-0.19449510957933785,-0.1546728061999303,0.011392534453350107,-0.5643950498873381,0.9496036418842042,0.0336949721488414,-0.9920429468882195,1.0298740669881703,0.46194694718509705,-0.36599497610501863
2019-03-13,-0.13522993534885966,-0.32087692363460396,0.8832817160069846,-0.3647956863461016,-0.2893994020681078,0.2642043440329798,-0.22544771212767822,0.4258234689710597,1.0244032243043981,0.460594482019766
2019-03-14,-0.05867050068858018,-0.1394357749085287,-0.34290827880433006,-1.5341459917785225,-0.041433028564951985,-0.35605853209359717,-0.3988758725979308,-0.2758891540582119,-1.003674752959228,-0.13229071595319844
2019-03-15,-0.032785505701579,0.2695367289944928,-0.10792559078775892,-0.12553985699714054,-0.02836936251348193,0.4141633114566952,-0.55765856695367,0.12956240677500377,0.25244889164240536,-1.0812563595731013
